source,target
Zurbano,Conde Peñalver
Embajadores 2,Plaza de la Independencia
Metro Pirámides,Ermita Santo
Paseo de la Florida,Ermita Santo
Zurbano,Casa Encendida
Caramuel,Marqués de Vadillo
Paseo de la Habana 63,Museo Reina Sofía
Fernando el Católico,San Bernardo
Plaza de las Salesas,Narváez
Augusto Figueroa,Fernando el Católico
Puerta del Ángel Caído,Plaza de Lavapiés
Colombia,Avenida Bruselas
Remonta,Cuatro Caminos 2
Ribera de Curtidores,Santa Isabel
Paseo de la Florida,Jacometrezo
Narváez,Plaza de Lavapiés
Ortega y Gasset,Bravo Murillo 44
Plaza de San Ildefonso,Fernando el Católico
Junta Municipal Retiro,Antón Martín
Narváez,Concordia
Moncloa,San Bernardo
San Bernardo,Conde de Romanones
Cuesta de Moyano,Puerta de Madrid
Hortaleza,Santa Isabel
Marqués de Vadillo,Puente Praga
Santa María de la Cabeza,San Delfín
Marqués de Vadillo,Plaza de Lavapiés
Plaza de los Astros,San Delfín
Plaza de los Astros,Plaza de Felipe II
Plaza de las Salesas,Parque Santander
Méndez Álvaro,Sierra Toledana
Avenida Donostiarra,Avenida de los Toreros
Cea Bermúdez,Barceló
Calle Mayor,Entrada Matadero
Barceló,Plaza de Lavapiés
Plaza de la República Argentina,Plaza de la Cebada
Paseo de Moret,Santa Cruz del Marcenado
Jaime el Conquistador,Segovia 45
Glorieta de los Cuatro Caminos,Juan Bravo 50
Plaza de San Francisco,Santa Engracia 127
Glorieta de Cádiz,Plaza de Lavapiés
O'Donnell,Marqués de Corbera 52
Zurbano,Casa Encendida
Francos Rodríguez,Fuencarral
Entrada Matadero,Ermita Santo
Valderribas,Menéndez Pelayo
Plaza de San Ildefonso,Castellana
Santo Domingo,Plaza de San Ildefonso
Puerta de Toledo,Plaza Conde Suchil
Fernando el Católico,Facultad Derecho
Concordia,Méndez Álvaro
Embajadores 191,Embajadores-Cáceres
Desengaño,Santa Engracia 87
Cea Bermúdez,San Hermenegildo
Embajadores-Cáceres,Embajadores 2
Plaza de las Salesas,José Abascal
Ventura Rodríguez,Retiro-Ibiza
General Pardiñas,Manuel Silvela
Augusto Figueroa,Jaime el Conquistador
Antón Martín,Augusto Figueroa
General Pardiñas,Puerta del Ángel Caído
Segovia 45,Conde Duque
Embajadores 191,Plaza de Lavapiés
Santa Engracia 127,Santa Engracia 14
Plaza de Santa Ana,Puerta del Ángel
Miguel Moya,Quevedo
Augusto Figueroa,Embajadores-Cáceres
José María Pereda,Avenida de los Toreros
Embajadores-Cáceres,Plaza de la Cebada
Puerta de Toledo,Calle Mayor
Cartagena,Valderribas
General Martínez Campos ,Niño Jesús
Plaza de Juan Pujol,Juan Bravo 50
Prosperidad,Fernando el Católico
Orense 36,Orense 12
Menéndez Pelayo,Retiro-Ibiza
Cibeles,General Pardiñas
Casa Encendida,Plaza de Pedro Zerolo
Carlota O’Neill,José María Pereda
Plaza de Lavapiés,Carlos Cambronero
Cea Bermúdez,Glorieta de los Cuatro Caminos
Puerta de Granada,Altamirano
Sor Ángela de la Cruz,Prosperidad
Orense 12,Plaza de la Independencia
Alonso Martínez,Colombia
Orense 12,Quevedo
Plaza de San Ildefonso,Ventura Rodríguez
Puerta de Toledo,Ronda de Atocha
Plaza de Lavapiés,Carlos Cambronero
Ferraz,Marqués de Vadillo
Orense 12,Canal
San Bernardo,Manuel Silvela
Serrano,Augusto Figueroa
San Hermenegildo,Plaza de Nelson Mandela
Puerta del Ángel,Carlos Cambronero
Avenida de América 2,Ronda de Atocha
Casa Encendida,Antón Martín
Castelló,Antonio Maura
Carretas,Paseo de la Esperanza
Caramuel,Plaza de la Cebada
Plaza de las Salesas,Parque Santander
Plaza de los Astros,Cuesta de Moyano
San Bernardo,Manuel Silvela
Plaza de los Carros,Quevedo
Embajadores 2,Plaza de San Francisco
Palos de la Frontera,Plaza de los Carros
Jacometrezo,Metro Pirámides
Cuatro Caminos 2,Santo Domingo
Desengaño,Hortaleza
Quevedo,Hospital Clínico
Puente de Vallecas,Plaza de la Independencia
Quevedo,Hospital Clínico
Fuencarral,Orense 12
Plaza de la Independencia,Gutierre de Cetina
Orense 12,Bravo Murillo 44
Puerta del Ángel,Plaza de Nelson Mandela
Plaza de la Independencia,Puerta de Madrid
Caramuel,Santa Isabel
Paseo de la Esperanza,Ermita Santo
Plaza de la Independencia,Puerta de Madrid
Metro Pirámides,Embajadores 1
Paseo de las Delicias,Santa Isabel
Conde Peñalver,Palos de la Frontera
Castelló,Puerta del Ángel Caído
Jaime el Conquistador,Plaza de Nelson Mandela
Puerta del Ángel,Plaza de los Carros
Palos de la Frontera,Malasaña
Ermita Santo,Antonio López
Alonso Martínez,Francos Rodríguez
Puerta de Toledo,Puerta de Madrid
Cuatro Caminos 2,San Germán 57
Marqués de Vadillo,Plaza de San Francisco
Embajadores 2,Segovia 45
Menéndez Pelayo,Puerta de Madrid
Remonta,Orense 12
Reina Victoria,Quevedo
INEF,Fernando el Católico
Francos Rodríguez,Colegio Arquitectos
Embajadores 2,Jaime el Conquistador
General Álvarez de Castro,Plaza de los Carros
Puente de Vallecas,Doctor Lozano
Camino Vinateros,Miguel Moya
Augusto Figueroa,Plaza de la Cebada
Paseo de la Florida,San Hermenegildo
Embajadores 2,Puerta de Granada
Serrano,Puerta de Granada
Paseo de la Florida,Marqués de Vadillo
Agustín de Betancourt,Pío XII
Segovia 45,San Delfín
Plaza Conde Suchil,General Álvarez de Castro
Paseo de la Esperanza,Jesús y María
Puerta de Mariano de Cavia,Mártires Concepcionistas
Embajadores 1,Puerta del Ángel Caído
Fernando el Católico,Santo Domingo
Antón Martín,Puerta de Toledo
Parque Santander,San Germán 57
Embajadores 1,Puerta del Ángel Caído
Plaza de los Astros,Carlos Cambronero
Fernando el Católico,Cuatro Caminos 2
Plaza de la Cebada,Jacometrezo
Santa Engracia 14,Bravo Murillo 44
Puente de Vallecas,Puerta de Granada
Facultad Biología,Bravo Murillo 44
Marqués de Vadillo,Puerta del Ángel
San Quintín,Embajadores 2
Ayala,San Bernardo
Guzmán el Bueno,Avenida Donostiarra
Santa María de la Cabeza,Metro Pirámides
Quevedo,Desengaño
Plaza de San Miguel,Fernando el Católico
Fernando el Católico,Doce de Octubre
Santa Isabel,Santa María de la Cabeza
Embajadores-Cáceres,Puerta de Toledo
Plaza de Lavapiés,Pirámides
Puente Praga,Paseo de la Esperanza
Puente Praga,Ribera de Curtidores
Moncloa,Ferraz
San Hermenegildo,Jacometrezo
Ortega y Gasset,Bravo Murillo 44
Bravo Murillo 44,Altamirano
Plaza de las Salesas,José Abascal
Ventura Rodríguez,Puerta del Doce de Octubre
Marqués de Vadillo,Plaza de San Francisco
Paseo de la Castellana con Raimundo Fernández,General Pardiñas
Avenida Donostiarra,Cartagena
Palacio de Oriente,Plaza de San Francisco
Santo Domingo,Manuel Silvela
Mártires Concepcionistas,Avenida de América 1
Santa Engracia 14,Cuatro Caminos 2
Estrecho,Santo Domingo
Plaza de Nelson Mandela,San Bernardo
Marqués de Vadillo,Paseo de la Esperanza
Parque Roma,Cuesta de Moyano
Fernando el Católico,Plaza de los Carros
Doce de Octubre,Plaza de Santa Ana
Camino Vinateros,Marroquina
Concordia,Santa María de la Cabeza
Puente de Vallecas,Carretas
Santa María de la Cabeza,Carretas
José Abascal,Santa María de la Cabeza
Marqués de Vadillo,Plaza de la Cebada
Santa Engracia 87,San Hermenegildo
Santa María de la Cabeza,Legazpi
Plaza de San Francisco,San Andrés
Marqués de Vadillo,Plaza de los Carros
San Delfín,Puerta del Ángel
Metro Tetuán,Quevedo
Plaza de San Ildefonso,General Álvarez de Castro
Colegio Arquitectos,Bravo Murillo 44
Orense 12,Bravo Murillo 44
Príncipe de Vergara,Casa Encendida
Jaime el Conquistador,Marqués de Vadillo
Fernando el Católico,José Abascal
Castellana 42,Menéndez Pelayo
Doctor Arce 45,Plaza de las Salesas
Parque Santander,Quevedo
Miguel Moya,Paseo de las Delicias
Plaza de la Independencia,Gutierre de Cetina
José Abascal,Prosperidad
Marqués de Vadillo,Puente Praga
Marqués de Vadillo,Paseo de las Delicias
Plaza de Santa Ana,General Pardiñas
Madrid Río-Yeserías,Plaza de la Provincia
Marqués de Zafra,Palacio de Deportes
San Quintín,Puerta del Ángel
Paseo de la Esperanza,Rubén Darío
Quevedo,San Quintín
Diego de León 52,Puerta de Madrid
Glorieta de los Cuatro Caminos,Quevedo
Plaza de San Miguel,Santa Isabel
Sevilla,Ayala
Plaza de la Independencia,Puerta del Doce de Octubre
Cuatro Caminos 2,Fernando el Católico
Cuatro Caminos 2,Fernando el Católico
Paseo de la Florida,San Hermenegildo
Legazpi,San Delfín
General Pardiñas,Desengaño
Puerta de Toledo,Plaza de Pedro Zerolo
Colegio Arquitectos,Alcalá
Santa Engracia 87,Orense 36
General Álvarez de Castro,Mártires Concepcionistas
San Bernardo,Conde de Romanones
San Germán 57,Santa Engracia 14
San Delfín,Antón Martín
Paseo de la Castellana con Raimundo Fernández,Prosperidad
Puerta del Ángel,Jesús y María
Puerta de Granada,Alcalá
Glorieta de los Cuatro Caminos,Alonso Martínez
Ronda de Atocha,Claudio Coello
Desengaño,Hortaleza
Embajadores-Cáceres,Plaza de los Carros
Puerta del Ángel,Jesús y María
Embajadores 1,Glorieta de Cádiz
Mártires Concepcionistas,Ayala
Glorieta de los Cuatro Caminos,José Abascal
Ventas,Prosperidad
Palos de la Frontera,Manuel Silvela
Palos de la Frontera,Plaza de la Cebada
Santa Engracia 127,Santa Engracia 14
Antonio López,Plaza de Nelson Mandela
Ventura Rodríguez,Puerta del Doce de Octubre
General Pardiñas,Manuel Silvela
Casa Encendida,C.D. Concepción
Casa Encendida,Plaza de Pedro Zerolo
Paseo Imperial,Paseo de la Florida
Paseo de la Esperanza,Jesús y María
Santa Engracia 87,Augusto Figueroa
Junta Municipal Retiro,Plaza de la Cebada
Paseo de la Esperanza,Puerta del Ángel
Plaza de Lavapiés,Velázquez
Puerta de Toledo,Santo Domingo
Augusto Figueroa,Fuencarral
Plaza de los Carros,Antón Martín
Puerta de Granada,Puerta de Madrid
Puerta de Madrid,Hortaleza
Puente de Ventas,Diego de león
Carlos Cambronero,Plaza de la Cebada
Jacometrezo,Metro Pirámides
Caramuel,Huertas
Plaza de San Ildefonso,Santa Engracia 87
Velázquez-Diego de León,Palacio de Oriente
Segovia 45,Jacometrezo
Ferraz,Desengaño
Avenida de América 1,Moncloa
Francos Rodríguez,Colegio Arquitectos
Puerta del Ángel,Santo Domingo
Glorieta de los Cuatro Caminos,Fernando el Católico
Plaza de las Salesas,Fernando el Católico
Marqués de Vadillo,Santa María de la Cabeza
Augusto Figueroa,Bravo Murillo 44
Barceló,Plaza de San Francisco
Almadén,Retiro-Ibiza
José Abascal,General Pardiñas
Narváez,Plaza de San Ildefonso
Junta Municipal Retiro,Casa Encendida
Marqués de Vadillo,Paseo de la Florida
Puente Praga,Paseo de la Esperanza
Conde de Romanones,Embajadores 2
Doctor Esquerdo-Hermosilla,Doce de Octubre
Ortega y Gasset 87,Augusto Figueroa
Ronda de Atocha,Plaza de Pedro Zerolo
Avenida de América 2,Ronda de Atocha
Retiro-Ibiza,Plaza de Felipe II
Santa Engracia 87,Orense 12
José María Pereda,Avenida de los Toreros
Puerta de Granada,Velázquez
Ayala,O'Donnell
Retiro-Ibiza,Plaza de Felipe II
Plaza de la Cebada,Jacometrezo
Plaza de San Miguel,Ronda de Atocha
Madrid Río-Yeserías,Legazpi
Niño Jesús,Santa Isabel
Plaza de la Cebada,Paseo de la Esperanza
Plaza de la Cebada,Paseo de la Esperanza
Puerta del Ángel,Tres Cruces
Quevedo,San Germán 57
Plaza de San Francisco,San Andrés
Plaza de San Francisco,San Andrés
Segovia 45,Santa María de la Cabeza
Paseo de la Esperanza,Embajadores 1
General Pardiñas,Puerta de Granada
Orense 12,Plaza de las Salesas
Prosperidad,Fernando el Católico
Plaza de Lavapiés,Santa Isabel
Guzmán el Bueno,Alonso Martínez
Segovia 45,Santa Engracia 127
Paseo de la Esperanza,Marqués de Vadillo
San Bernardo,Plaza de Lavapiés
Ermita Santo,Plaza de Lavapiés
Cartagena,Santa Isabel
Paseo de la Esperanza,Casa Encendida
Paseo de las Delicias,Paseo de la Esperanza
Segovia 45,Antón Martín
Puerta de Toledo,Ermita Santo
Marqués de Vadillo,Puerta del Ángel
Marqués de Vadillo,Embajadores 2
San Germán 57,Canal
Marqués de Vadillo,Santa María de la Cabeza
Santo Domingo,Columela
Carlos Cambronero,Fernando el Católico
General Pardiñas,Manuel Silvela
Paseo de la Florida,Plaza de la Cebada
Juan Bravo 50,Antonio Maura
Paseo de la Esperanza,Plaza de Lavapiés
Paseo de la Esperanza,Plaza de Lavapiés
Puerta de Toledo,Jacinto Benavente
Ventas,Prosperidad
Retiro-Ibiza,Menéndez Pelayo
Casa Encendida,Jaime el Conquistador
Santa Engracia 87,Fuencarral
Francos Rodríguez,Quevedo
Marqués de Vadillo,Plaza de la Cebada
Marqués de Vadillo,Puerta de Toledo
Plaza de San Ildefonso,Santa Engracia 87
San Hermenegildo,Agustín de Betancourt
Marqués de Vadillo,Puerta de Toledo
Remonta,Orense 12
Jaime el Conquistador,Puerta de Toledo
San Vicente Ferrer,Biblioteca Nacional
Embajadores 2,Plaza de los Carros
Embajadores 2,Plaza de los Carros
Plaza de San Francisco,Manuel Silvela
Embajadores-Cáceres,Jesús y María
Jaime el Conquistador,Palos de la Frontera
Plaza de Lavapiés,Plaza de los Carros
Pedro Bosch,Ronda de Atocha
Quevedo,Plaza de la Cebada
San Hermenegildo,Jacometrezo
Embajadores-Cáceres,Santa Isabel
Augusto Figueroa,Fernando el Católico
Segovia 45,Carretas
Plaza de San Francisco,Plaza de Juan Pujol
Plaza de San Francisco,Plaza de Juan Pujol
Madrid Río-Yeserías,Pirámides
Embajadores 2,Madrid Río-Yeserías
Madrid Río-Yeserías,Plaza de la Provincia
Ferraz,Desengaño
Plaza de San Francisco,Carretas
Ortega y Gasset 87,Alonso Martínez
Palacio de Oriente,Plaza de San Francisco
Puente Praga,Ribera de Curtidores
Pablo Iglesias,Paseo de la Castellana con Raimundo Fernández
Puerta de Toledo,Plaza Conde Suchil
Plaza de las Salesas,General Álvarez de Castro
Puerta del Ángel,Plaza de San Miguel
Glorieta de los Cuatro Caminos,Colegio Arquitectos
Plaza de San Francisco,Santa Engracia 127
Glorieta de Cádiz,Plaza de los Carros
Manuel Silvela,Rubén Darío
C.D. Concepción,Prosperidad
Quevedo,Malasaña
Quevedo,Malasaña
Puerta de Granada,Conde de Casal
Mártires Concepcionistas,Ayala
Plaza del Encuentro,Camino Vinateros
Guzmán el Bueno,Plaza de los Carros
Entrada Matadero,Antón Martín
Marqués de Vadillo,Santa María de la Cabeza
Glorieta de Cádiz,Castellana 42
Puerta de Madrid,Plaza de Pedro Zerolo
Plaza de Juan Pujol,Juan Bravo 50
Santa Engracia 127,Manuel Silvela
San Andrés,Plaza de la Cebada
Plaza de San Ildefonso,Castellana
Santa Engracia 87,Santo Domingo
Puerta del Ángel,Plaza de la Cebada
Ronda de Atocha,Claudio Coello
Segovia 45,Santa Engracia 127
Antón Martín,Embajadores 191
Plaza de Lavapiés,Paseo de la Esperanza
Delicias,Plaza de los Carros
Fernando el Católico,San Bernardo
Glorieta de los Cuatro Caminos,José Abascal
José Abascal,General Pardiñas
Plaza de la Cebada,Casa Encendida
Prosperidad,Paseo de la Castellana con Raimundo Fernández
Paseo de la Florida,Calle Mayor
Paseo de la Florida,Calle Mayor
Ortega y Gasset 87,Augusto Figueroa
Cuatro Caminos 2,Fernando el Católico
San Vicente Ferrer,Alonso Martínez
San Germán 57,Santa Engracia 14
Plaza de la Cebada,Plaza de Juan Pujol
Jaime el Conquistador,Paseo Imperial
San Bernardo,Malasaña
Orense 12,Remonta
Caramuel,Segovia 45
Alonso Martínez,Santa Engracia 127
Puerta de Granada,Velázquez
Juan Martín,Méndez Álvaro
Jacometrezo,Metro Pirámides
Jaime el Conquistador,Embajadores 2
Jacinto Benavente,Paseo de la Esperanza
Galileo,Santo Domingo
Avenida de América 2,Ronda de Atocha
Marqués de Vadillo,Ronda de Atocha
San Vicente Ferrer,Biblioteca Nacional
Plaza de Felipe II,Plaza de los Astros
San Bernardo,Plaza de la Cebada
Puerta de Madrid,Casa Encendida
San Hermenegildo,Santa Engracia 87
Ferraz,Plaza del Cordón
Cea Bermúdez,San Hermenegildo
Méndez Álvaro,Sierra Toledana
Méndez Álvaro,Sierra Toledana
José Abascal,Orense 12
Delicias,Antón Martín
Galileo,Fuencarral
Puerta de Granada,Legazpi
Conde Peñalver,Avenida de América 2
Puerta de Granada,Legazpi
Marqués de Vadillo,Legazpi
Plaza de la Cebada,Conde Duque
Santo Domingo,Columela
Paseo de la Florida,Marqués de Vadillo
Madrid Río-Yeserías,Antonio López
Metro Tetuán,Cuatro Caminos 2
San Vicente Ferrer,Plaza de la Independencia
Desengaño,Estrecho
Plaza de los Carros,Antón Martín
Paseo de la Esperanza,Plaza de Lavapiés
Embajadores 2,Plaza de San Francisco
Embajadores 2,Ermita Santo
Paseo Imperial,Plaza de Lavapiés
Prosperidad,Plaza de Lavapiés
Parque Santander,Glorieta de los Cuatro Caminos
Ermita Santo,Plaza de la Cebada
Glorieta de los Cuatro Caminos,Quevedo
Plaza de Lavapiés,Entrada Matadero
Colegio Arquitectos,Bravo Murillo 44
Puerta del Ángel Caído,Plaza de la Cebada
San Hermenegildo,Estrecho
Plaza de la Independencia,Plaza de Lavapiés
Castelló,Antonio Maura
Quevedo,Glorieta de los Cuatro Caminos
Caramuel,Conde de Romanones
Plaza de Lavapiés,Jaime el Conquistador
Plaza de la Cebada,Embajadores-Cáceres
Plaza de Felipe II,Méndez Álvaro
Plaza de Felipe II,Puerta de Granada
Beata,San Delfín
Puerta de Madrid,Alcalá
Cuesta de Moyano,Puerta de Madrid
Paseo Imperial,Paseo de la Florida
Cuesta de Moyano,Puerta de Madrid
Puerta del Ángel,Segovia 45
Batalla del Salado,Bravo Murillo 44
Puerta de Granada,Antón Martín
Galileo,Barceló
Entrada Matadero,Plaza de Juan Pujol
Entrada Matadero,Plaza de Juan Pujol
Quevedo,Barceló
Puerta de Granada,Velázquez
General Pardiñas,Fernando el Católico
Paseo de la Florida,Antonio López
Paseo de la Esperanza,San Delfín
Menéndez Pelayo,Plaza de Felipe II
Junta Municipal Retiro,Sainz de Baranda
Plaza de Nelson Mandela,Puerta del Ángel Caído
Plaza de Lavapiés,Delicias
Plaza de Lavapiés,Junta Municipal Retiro
Puerta de Toledo,Plaza de la Cebada
Santa María de la Cabeza,Plaza de Lavapiés
Prosperidad,Diego de león
Antón Martín,Puente de Vallecas
Marqués de Vadillo,Caramuel
Marqués de Vadillo,Caramuel
Avenida Donostiarra,Juan Bravo 50
Puerta del Doce de Octubre,Huertas
Puerta de Toledo,Plaza Conde Suchil
Marroquina,Puerta del Doce de Octubre
Barceló,Glorieta de los Cuatro Caminos
José Abascal,General Pardiñas
Facultad Derecho,José Abascal
Puerta de Madrid,Augusto Figueroa
Guzmán el Bueno,Orense 36
Paseo de la Esperanza,Velázquez
Plaza de Lavapiés,Velázquez
Segovia 45,Santa Engracia 127
Ventas,Prosperidad
Barceló,Quevedo
Avenida Donostiarra,Juan Bravo 50
Plaza de Felipe II,Castelló
Museo Reina Sofía,Jaime el Conquistador
Quevedo,Juan Bravo 50
Quevedo,Juan Bravo 50
Plaza de Lavapiés,Paseo de las Delicias
Embajadores 2,Entrada Matadero
Plaza de Lavapiés,Paseo de las Delicias
Casa Encendida,Jacinto Benavente
Casa Encendida,Jacinto Benavente
Concordia,Antón Martín
Antón Martín,Santo Domingo
Marqués de Vadillo,Entrada Matadero
Puerta de Madrid,Plaza de los Astros
Puerta de Toledo,Antón Martín
General Pardiñas,Museo Reina Sofía
Quinta Fuente del Berro,Palacio de Deportes
Marqués de Cubas,Jorge Juan
Embajadores 2,Marqués de Vadillo
Avenida Donostiarra,Plaza de Felipe II
Plaza de Santa Ana,Plaza de San Ildefonso
Plaza de la Provincia,Hortaleza
Paseo de las Delicias,Marqués de Vadillo
Plaza de Lavapiés,Paseo de la Esperanza
Puente Praga,Plaza de Lavapiés
Puerta del Ángel,Tres Cruces
Ermita Santo,Puerta de Toledo
Puerta de Toledo,San Andrés
Antón Martín,Glorieta de Cádiz
San Quintín,Plaza de la Cebada
San Bernardo,Glorieta de los Cuatro Caminos
Palos de la Frontera,Embajadores 191
Puerta de Mariano de Cavia,Paseo de las Delicias
Santa Engracia 127,Santa Engracia 87
Beata,Santa María de la Cabeza
Paseo de la Esperanza,Jesús y María
Conde de Casal,Santa Engracia 87
Agustín de Betancourt,Pío XII
Jacinto Benavente,Menéndez Pelayo
Príncipe de Vergara,Derechos Humanos
Puente de Ventas,Ayala
Paseo de la Esperanza,Paseo de la Florida
Desengaño,Fernando el Católico
Santo Domingo,Manuel Silvela
Calle Mayor,Plaza de San Francisco
Segovia 45,Paseo de la Florida
Niño Jesús,Carlos Cambronero
Cuatro Caminos 2,San Bernardo
Palacio de Oriente,Plaza de San Francisco
Puerta de Toledo,Antón Martín
Santo Domingo,Santa Isabel
Marqués de Vadillo,Plaza de la Cebada
San Hermenegildo,Santo Domingo
General Pardiñas,Glorieta de los Cuatro Caminos
Plaza de San Miguel,Segovia 45
Quevedo,Puerta del Ángel Caído
San Francisco de Sales,Diego de León 52
Sevilla,Diego de león
Plaza de los Carros,Paseo de la Esperanza
Zurbano,Conde Peñalver
Puerta del Ángel Caído,Antón Martín
Parque Santander,Orense 36
Marqués de Vadillo,Puente Praga
Parque Berlín,Plaza de San Ildefonso
Paseo de la Esperanza,Jaime el Conquistador
Agustín de Betancourt,Plaza de Castilla
Orense 12,Fuencarral
Alonso Martínez,Glorieta de los Cuatro Caminos
Paseo de la Castellana con Raimundo Fernández,Fernando el Católico
Antonio Maura,Plaza de los Astros
Plaza de la Cebada,Galileo
Avenida Donostiarra,Juan Bravo 50
Menéndez Pelayo,Retiro-Ibiza
Ayala,Augusto Figueroa
Santa Engracia 87,Plaza de San Ildefonso
María Francisca 1,Juan Bravo 50
Paseo de la Habana 42,Puente de Ventas
Menéndez Pelayo,Plaza de Felipe II
Ermita Santo,Glorieta de Cádiz
General Álvarez de Castro,Santa Engracia 127
Orense 12,Fernando el Católico
Antonio Maura,Plaza de la Cebada
Quintana,Alonso Martínez
Plaza de los Carros,Quevedo
Puerta del Doce de Octubre,Plaza de Lavapiés
Fuencarral,Desengaño
Jaime el Conquistador,Paseo Imperial
Avenida de América 2,Rubén Darío
Ortega y Gasset 87,Avenida Donostiarra
Puerta del Doce de Octubre,Huertas
Mártires Concepcionistas,Avenida de América 1
Corazón de María,Antonio López
Quevedo,Puerta del Ángel Caído
San Germán 5,San Francisco de Sales
Castelló,Puerta del Ángel Caído
Paseo de Moret,Batalla del Salado
Santa Isabel,Palos de la Frontera
Cuatro Caminos 2,Galileo
Plaza de Nelson Mandela,Embajadores 1
Santa Engracia 127,San Germán 57
Camino Vinateros,Gutierre de Cetina
Plaza del Cordón,Caramuel
Santa María de la Cabeza,Paseo de la Esperanza
Plaza de San Miguel,Santa Isabel
General Pardiñas,Manuel Silvela
Rubén Darío,Plaza de San Ildefonso
Marroquina,Puerta del Pacífico 
Puerta del Doce de Octubre,Huertas
Metro Tetuán,Quevedo
Segovia 45,Plaza de los Carros
Marroquina,Puerta del Pacífico 
Galileo,San Hermenegildo
Paseo de la Esperanza,Paseo Imperial
Madrid Río-Yeserías,Marqués de Vadillo
Fernando el Católico,General Álvarez de Castro
Ortega y Gasset 87,Francos Rodríguez
Plaza de la Cebada,Plaza de Lavapiés
Conde de Romanones,Puerta del Doce de Octubre
Méndez Álvaro,Concordia
Glorieta de los Cuatro Caminos,San Hermenegildo
Barceló,Embajadores 2
Avenida de los Toreros,Hortaleza
Colombia,Quevedo
Plaza Conde Suchil,Plaza de la Cebada
Caramuel,Marqués de Vadillo
Prosperidad,Colombia
General Álvarez de Castro,Plaza de los Carros
Castellana 106,Canal
Antonio López,Embajadores 2
Puerta de Toledo,Menéndez Pelayo
Palacio de Oriente,Plaza de San Ildefonso
Marqués de Vadillo,Ermita Santo
Paseo de la Florida,Segovia 45
Paseo de Moret,Santa Cruz del Marcenado
Plaza de San Ildefonso,Fernando el Católico
Fernando el Católico,San Germán 57
Cuatro Caminos 2,Doctor Arce 45
Paseo de la Florida,Paseo de la Esperanza
Segovia 45,Palacio de Oriente
Moncloa,Plaza de la Cebada
Alonso Martínez,Santa Engracia 127
Galileo,Velázquez
Plaza de Lavapiés,Segovia 45
Columela,Barceló
Santa Isabel,Santo Domingo
Paseo Imperial,Conde de Romanones
Santa Isabel,Segovia 45
Plaza de Santa Ana,Puerta del Ángel
Santa Isabel,Puerta del Doce de Octubre
Orense 12,Metro Tetuán
Torre Cepsa,Palos de la Frontera
Plaza de la Cebada,Plaza de Lavapiés
Palacio de Deportes,Plaza de San Miguel
José María Pereda,Avenida de los Toreros
Serrano,Tres Cruces
Castellana 106,Parque Santander
Caramuel,Conde de Romanones
San Hermenegildo,Agustín de Betancourt
Puente de Vallecas,Antón Martín
Ribera de Curtidores,Espalter
Concordia,Ribera de Curtidores
Guzmán el Bueno,Plaza de la Cebada
Alonso Martínez,Francos Rodríguez
Camino Vinateros,Plaza de los Astros
San Hermenegildo,Plaza de Lavapiés
Concordia,Paseo de la Esperanza
Embajadores 1,Plaza de la Cebada
Marqués de la Ensenada,Antonio López
Delicias,Ermita Santo
Embajada de Italia,Orense 12
General Martínez Campos ,Niño Jesús
Jorge Juan,Palos de la Frontera
Paseo Imperial,Paseo de la Florida
San Bernardo,Plaza de la Cebada
Santa Isabel,Ermita Santo
Carretas,Paseo de la Esperanza
Embajadores 2,Marqués de Vadillo
Quevedo,Parque Santander
Colombia,Cartagena
Cuatro Caminos 2,Parque Santander
Espalter,Alcántara
General Álvarez de Castro,Avenida de los Toreros
Plaza de Nelson Mandela,Paseo de la Florida
Valderribas,Plaza de los Astros
General Álvarez de Castro,Avenida de los Toreros
Paseo de la Esperanza,Puerta del Ángel
Doctor Arce 45,Paseo de la Castellana con Raimundo Fernández
Santa Engracia 87,Alonso Martínez
Puerta del Ángel,Santa María de la Cabeza
Marqués de Corbera 12,Conde Peñalver
Orense 12,Santa Engracia 127
Fuencarral,Glorieta de los Cuatro Caminos
Paseo Imperial,Madrid Río-Yeserías
Pavones,Marqués de Corbera 52
Plaza de Nelson Mandela,Santa María de la Cabeza
Miguel Moya,Beata
Velázquez-Diego de León,Bravo Murillo 44
Galileo,Juan Bravo 50
Ronda de Atocha,Plaza de Pedro Zerolo
Quevedo,Doctor Arce 45
Plaza de San Miguel,San Andrés
Corazón de María,Avenida Bruselas
Paseo de la Esperanza,Plaza de los Carros
Castellana,Avenida de América 1
Plaza Conde Suchil,General Álvarez de Castro
Juan Bravo 50,Colegio Arquitectos
San Delfín,Paseo Imperial
Cartagena,Santa Isabel
Plaza de Lavapiés,Pirámides
Ermita Santo,Legazpi
Augusto Figueroa,Plaza de Lavapiés
Narváez,Puerta de Toledo
Santa Engracia 127,Alonso Martínez
Paseo de la Esperanza,Embajadores-Cáceres
Ermita Santo,Jacinto Benavente
Augusto Figueroa,Plaza de Lavapiés
Fernando el Católico,Santa Isabel
Cuatro Caminos 2,Plaza Conde Suchil
Reina Victoria,Jesús y María
Castellana 42,Santa Engracia 127
Puente Praga,Casa Encendida
Rubén Darío,Junta Municipal Retiro
Caramuel,Embajadores 2
Guzmán el Bueno,Glorieta de los Cuatro Caminos
Plaza de San Francisco,Calle Mayor
San Bernardo,Glorieta de los Cuatro Caminos
Prosperidad,Manuel Silvela
Orense 12,Quevedo
Jacinto Benavente,Segovia 45
