nombre,acceso,observaciones,señalizacion externa,latitud,longitud
La Covacha,"Senda del Puerto de Peón desde Hoyos del Espino a 30 minutos del inicio, pasada la segunda portera. Llega la pista forestal.","Caseta típica de ganaderos con tejado a dos aguas, dos dependencias y suelo de piedra. En la senda del Puerto de Peón.",No,40.300979525522344,-5.177628627717802
La Potrica,"Desde Navarredonda con dirección Valdeascas, 2,4 km y por el cordel de ganado hacia el arroyo de la Potrica. Se entra en el pinar y se sube por la pradera 20 minutos. Entre pinos.","En el pinar de Navarredonda, próximo al cordel de ganado. Tejado a dos aguas. Abierto pero muy poco frecuentado.",No,40.336932498506506,-5.122582398677688
Corrales de La Covacha,"En la entrada de la finca de la Covacha, inicio de la senda del Puerto del Peón, seguir la pista hasta que comienza a bajar, a 450 m de la carretera.","Pequeña cabaña dentro de los corrales de ganado, con tejado a una agua. Paredes con grandes piedras y cubierta con teja roja árabe.",No,40.30019581982741,-5.1904646192383845
La Cepeda,"Pista de Barbellido a Collado Tejedo, cruzando la garganta de Barbellido cerca del refugio de los Mellizos.A 20 minutos andando por la pista de tierra.","Pequeño refugio con tejado a un agua, al lado de la pista forestal, con valla a la entrada.",No,40.309750708212846,-5.222891902101272
El Helecho,"Se llega andando por la garganta de Valdeascas tomando la garganta de los barquillos a 200 metros de esta, 1 h. También se puede llegar en 4x4 por la pista del Helecho.",Cubierta de madera y teja a dos aguas. Adosado a la pared un pequeño corral de piedra. Tentadero circular de piedra próximo.,No,40.3194543952226,-5.135826645575321
Laguna de Galin Gómez,"Senda de la laguna de Galin Gomez o de Barco, al final de la senda y a la orilla de la laguna.","En la orilla de la laguna de Galin Gomez o de Barco, con posiblidades de reformas",No,40.23390236294635,-5.602069973705718
Prado Puerto,"Desde la plataforma de Gredos a 25 minutos por el camino del Puerto de Candeleda, en la otra orilla derecha de la garganta. Desviado de la ruta 400 metros, en zona alta de una pradera. Poco visible.",Caseta típica de ganaderos en zona alta de pradera con cubierta baja a dos aguas y orientado al sur.,No,40.26399246088406,-5.234172160636319
Refugio del Rey,"Desde la plataforma de Gredos dirección a Navasonera , a 1,30 h; o por la ruta del puerto de Candeleda desviandose por el camino del Rey, a 2 h.","En ruinas. Bloques de las paredes de piedra derruidas, cubierta de hormigón caida. Sin uso.",No,40.25122260429366,-5.253074769668124
Chozo de Laguna de los Caballeros,Por la senda de Garganta de los Caballeros,Refugio chozo de fortuna,No,40.21948559450862,-5.541309242207124
Majada de Anselmo,"Desde en puerto de Umbrías por la pista de tierra andando durante 3 h, en la bajada a la garganta, a la orilla de la laguna.","Caseta de planta rectangular con tejado de cemento a una agua, en la orilla de la laguna de Galín Goméz.",No,40.2537707797336,-5.604811371600613
Prado de la Casa,Desde Hoyos de Espino por la carretera de la plataforma y pasado el puente de Las Juntas y a 1 km por pista de tierra hasta el puente de la garganta de Prado Puerto. Andando 15 m. más hasta el arroyo del Prado de la Casa.,"Edificio de piedra, con dos dependencias adosadas iguales y corral de caballos cerca, al pie de la regadera del arroyo de Prado la Casa.",No,40.2838751170555,-5.216349529819747
Laguna del Duque,"Desde Solana de Avila a unos 5,5 Km con dirección al puerto del Tremedal, y por la pista de la central del Zaburdón y del Chorro. Al final de la pista se comienza a andar por una senda marcada próxima a la tubería de la central, a 35 minutos.","Refugio con cubierta a un agua, de planta rectangular y dos dependencias en zona de pradera por debajo de la laguna del Duque.",No,40.3050159842809,-5.681841535319622
El Piesnillo,"Margen izquierda de la garaganta de Bohoyo, en zona de robledal y brezal.",En la margen izquierda de la garaganta de Bohoyo.,No,40.29963000560808,-5.40666743576138
Navacasera,"Senda de la Garganta de la Nava, en zona de pradera, a media hora del inicio en la portera de la sierra.","Cabaña pequeña de piedra con tejado a dos aguas, y banco exterior de piedra. En la senda de la Laguna de la Nava.",No,40.26348433363848,-5.565184573956817
La Losa,"Senda de la Garganta de la Nava, en una zona de pradera, a 45 minutos del inicio en la portera de la sierra.","Refugio de fortuna de piedra, con tejado a un agua. En la senda de la Laguna de la Nava.",No,40.25516210220126,-5.5672031237280235
El Baldío,"Desde Navarredonda a 4 Km por el camino a Valdeascas y por el Cordel del Puerto del Pico a Barco de Avila, dirección Este rodeando el pinar, hasta el alto del Cotorro. Entrada de tierra y valla ganadera. Visible desde en cordel.",Refugio en la entrada de la finca del Baldío. Cubierta de teja de cemento gris a un agua.,No,40.34153246326953,-5.109932345359892
Elola,"Desde la plataforma de Gredos por el camino de la Laguna Grande de Gredos 2,3 h.",Edificio moderno sobre la cabezera de la Laguna Grande de Gredos de forma rectangular y dos plantas.,Si,40.25060727200535,-5.279883110537708
Cabeza la Parra,,Zona de reserva,No,40.391270602273515,-4.5404065164943965
Majalespino,,Zona de uso limitado,No,40.37271012444576,-4.534921979969676
